priceid,sku,title,Customer,Price
15082,884,6501 JACKET,SK MENSWEAR BLACK TOWN,10
15083,1220,1319/3 BOY SUIT ,JOE LICHAA,50 / 15 
15084,863,3474 SHIRT,JUST FORMAL - DARWIN,20
15085,1207,1319/3 SUIT,"NO 12 / 21-RFS, CHERMSIDE","65 / 19.5, BOY 50/ 15"
15086,533,5502/5 SUIT,LICHAA -- PARRAMATTA,70 / 18.50
15087,1221,1544 SPORTS COAT,THE PREMIER STORE,75
15088,1207,1319/3 SUIT,"MICK T""S CLOTHING",65.00 / 23 
15089,866,WING COLLAR SHIRT,STEVE MENSLAND 5% DISCOUNT,25 / 28 BIG
15090,1222,BOW TIE ,STEVE MENSLAND 5% DISCOUNT,5.5
15091,1187,"15501/2 SUIT , 15501/3 SUIT,5502 SUIT",ALL THINGS WEDDING,55 / 16.50
15092,654,1090 SHIRT ,REVOLVER MENS & JEANS,"BOY 19, MEN 22 / 25"
15093,1223,1303/96 TRS,BAYMAN,15
15094,935,3603 JACKET,MOSS CLOTHING,20
15095,533,5502/5 SUIT,STREET SMART CLOTHING,75.9 / 85.9 BIG
15096,1224,15501/2 & 15501/3 SUIT,MS MENSWEAR- CAMPBELLTOWN,50 / 15
15097,1153,JW15 JACKET ,LANE WAY LABELS,60
15098,598,JM06,LANE WAY LABELS,45
15099,1027,3474 BOY SHIRT,M&S,20
15100,1225,1898/28 SUIT,NEW PARIS ,85.00 / 22 TRS
15101,1226,1503/1 SUIT,NEW PARIS ,65
15102,1153,JW15 JACKET ,SK MENSWEAR BLACK TOWN,60 / 65 BIG 24/07/15
15103,1227,15501/3 SUIT,MAN POWER 28/04/10,50 /15 
15104,1228,"KNITS WEAR 9575,5708",BAYMAN,12.5
15105,785,JM02 JACKET ,STEP UP,88
15106,598,JM06,STEP UP,44
15107,1229,1390/9 & 8093/17 SUIT,VELE / SNK ,45 / 15 (SPECIAL)
15108,1230,93393 JACKET ,"NO 12 / 21-RFS, CHERMSIDE",22.5
15109,1231,MF DINNER W2 JAKCET,MR & MISS HOSPITALITY,65
15110,8,SATIN VEST,MR & MISS HOSPITALITY,25
15111,654,1090 SHIRT ,COPPARDS,22
15112,1187,"15501/2 SUIT , 15501/3 SUIT,5502 SUIT",JOE LICHAA,55 / 16.50
15113,1232,"1544/3, 1544/5 SPORTS COATS","NO 12 / 21-RFS, CHERMSIDE",65
15114,474,BOY TRIM SUIT,GEORGE GOOLEY,65 / 20
15115,1233,"4702, 6365 SHOES",LEOTTA'S EMPROIUM,38.5
15116,150,"1034 SHIRT  , 1090 SHIRT",BRIDAL EMPORIUM,22/ 25
15117,1234,MF W2 DINNER WHITE JACKET ONLY,VELE / SNK ,60 / 70 BIG
15118,1235,1319 BLUE SUIT,THE SUIT GUYS,65 / 19.50
15119,474,BOY TRIM SUIT,SK MENSWEAR BLACK TOWN,65 / 20 
15120,908,CLEARANCE PURE WOOL SUIT,NIKOLAS KL COSTANZO,70
15121,583,PURE WOOL SUIT,NIKOLAS KL COSTANZO,145
15122,1236,8944/682 W2 SUIT,SHIVAN 7 (OXY WEAR),85
15123,1237,MIXED KNITS,"NO 12 / 21-RFS, CHERMSIDE",10
15124,150,"1034 SHIRT  , 1090 SHIRT",WALLACE & CO,19 / 22
15125,1238,22160/5 BOY SUIT,DAVID MARCS FORMAL HIRE,60
15126,785,JM02 JACKET ,S & C,80 / 90 BIG
15127,1187,"15501/2 SUIT , 15501/3 SUIT,5502 SUIT",PAKMAN MENSWEAR,55 / 65 BIG / 16.50 TRS
15128,1239,1034 MEN SHIRT,BEST DRESSED MAN,22 / 25 BIG
15129,9,MF VEST BLACK,MAINSTREET,16.5 /  22 BIG
15130,863,3474 SHIRT,THE WEDDING CENTRE,22 / 25
