priceid,sku,title,Customer,Price
15998,1517,1107/4 SPOT JACKET,LOWES MENSWEAR,60 / 75 BIG SIZE
15999,669,5502/4 SUIT,,90 BIG SIZE
16000,1443,V BOW TIE,CALLUCCI MENSWEAR,6
16001,1518,"JM16, JW15 JACKET",EDDYE'S,45
16002,1510,11495 JACKET,STEVE MENSLAND 5% DISCOUNT,20 (NET PRICE NO 5% DISCOUNT)
16003,1510,11495 JACKET,MOSS CLOTHING,18
16004,1454,1056 SHIRT,THE WEDDING SHOPPE - DUBBO,22 / 25 
16005,1519,9637 SHOE,WILLIAM PANTHER,35
16006,1335,JM16 JACKET SPECIAL,SHIVAN 7 (OXY WEAR),40
16007,1453,1706 SHIRT,BOULTERS MENSWEAR (5% DISCOUNT),22
16008,1520,JIMI  SHOES,BOULTERS MENSWEAR (5% DISCOUNT),45
16009,1050,5502/4 JACKET ONLY ,MURRHY'S DRAPERY,35
16010,535,3208 W2 SUIT,GEORGE GOOLEY,95
16011,526,PC SHIRT,AVESTA TAILORING,8
16012,1390,T128 SUIT ,EDGE SUIT OUTLET & RENTALS,75 / 21 
16013,878,81570/1 SUIT ,ELITE SHOP,45 SPECIAL
16014,1521,HJ3603 HOXLEY JACKET ,GARRY ANTHONY MENSLAND,20
16015,1363,987 JACKET,GARRY ANTHONY MENSLAND,20 (21/07/2017) NO 5% DISCOUNT
16016,1153,JW15 JACKET ,GARRY ANTHONY MENSLAND,45
16017,1522,FLEECE JACKET,GARRY ANTHONY MENSLAND,20
16018,1335,JM16 JACKET SPECIAL,GARRY ANTHONY MENSLAND,45
16019,1523,NO FUR HOODY,"NO 12 / 21-RFS, CHERMSIDE",9.5
16020,1197,22160/5 SUIT ,LEOTTA'S EMPROIUM,75 / 22.5 
16021,444,RFS/AF028 TRS,LEOTTA'S EMPROIUM,16.5
16022,1197,22160/5 SUIT ,BRIDAL EMPORIUM,75 / 22.50TRS VEST 65/20BOY
16023,851,"1034 , 1090 BOY SHIRT",STREET SMART CLOTHING,20
16024,1390,T128 SUIT ,COPPARDS,"75 / 22.50, 65/19.5 BOY"
16025,1240,168/1 SUIT,BRIDAL EMPORIUM,89 / 109 BIG SIZE
16026,1524,81792/2 SUIT ,"MICK T""S CLOTHING",50
16027,535,3208 W2 SUIT,GENTLEMENTS OUTFITS --CHAR,95 / 38.5 
16028,1525,T128 W2 WITH LAPEL SUIT,"NO 12 / 21-RFS, CHERMSIDE",80 / 95 BIG / 19.5
16029,1516,1629 SHIRT,JOVITA'S BRIDAL BOUTIQUE,20 / 23 BIG
16030,1526,1606 & 3406 SHIRT,"NO 12 / 21-RFS, CHERMSIDE",20 / 23 BIG
16031,1453,1706 SHIRT,SUITS DIRECT PTY LTD,22 / 25
16032,1447,CHINO PANTS,ZIBARA,20  (18.5 NEED OVER 100 PCS)
16033,1527,2269/7 SUIT BLUE,THE WEDDING SHOPPE - DUBBO,79.00 / 23
16034,1528,8944/633 & T128/63 VEST,COLBEST DESIGN,18
16035,1529,3506 & 3406 SHIRT,"NO 12 / 21-RFS, CHERMSIDE",20 / 23 BIG
16036,1386,D246 SUIT,BRUNO MOBILE SUITS,85 / 23 
16037,1359,"917, 987 JACKET ",BONAMAN-BROADMEADOWS,25
16038,1454,1056 SHIRT,STREET SMART CLOTHING,22
16039,1149,3208 TAIL SUIT,FORMALWEAR 2 SUIT U,140
16040,1454,1056 SHIRT,BRIDAL EMPORIUM,22
16041,1530,2269/7 SUIT,JOE LICHAA,75 / 90  / 22.50
16042,1531,T128/63 W2 WITH BLACK LAPEL,JOE LICHAA,79.00 / 89 BIG
16043,1390,T128 SUIT ,BOULTERS MENSWEAR (5% DISCOUNT),75 /22.50
16044,1386,D246 SUIT,GENTLEMENTS OUTFITS --CHAR,85 / 135 BIG / 25 / 30.5 BIG T &V 
16045,1532,"1630, 1629 SHIRT",MODERN MALE MENSWEAR,20 / 23 BIG
16046,1533,3250 SHIRT,"NO 12 / 21-RFS, CHERMSIDE",20 / 23 BIG
16047,1516,1629 SHIRT,M&S,20 / 23 
16048,1373,5132 JACKET ,CALABRO,35 / 40 BIG
16049,1386,D246 SUIT,MAN UNITED,89 / 23 
16050,1534,MF SUIT BLACK,ALL THINGS WEDDING,65 / 75 BIG
16051,1390,T128 SUIT ,MAVERIC CLOTHING,62 / 77 BIG / 18 / 23.5 BIG
16052,1453,1706 SHIRT,MODERN MALE MENSWEAR,25 / 28 BIG
16053,1400,D123 SUIT,MODERN MALE MENSWEAR,89
16054,1390,T128 SUIT ,WHYTES  CLOTHING,75 / 21
16055,1516,1629 SHIRT,BONAMAN-F/F 22/04/15,18 / 21 BIG
16056,1535,2119 PURE WOOL SUIT,"NO 12 / 21-RFS, CHERMSIDE",150/180BIG/45
16057,1390,T128 SUIT ,LOWES MENSWEAR,65/80BIG/19.5/25BIG TRS VEST
16058,1390,T128 SUIT ,DAVID MARCS FORMAL HIRE,65/19.5 TRS
16059,1516,1629 SHIRT,DAVID MARCS FORMAL HIRE,22/25BIG
16060,1390,T128 SUIT ,STANLEY JOHNS,65/80 BIG/19.5/25TRS
16061,1516,1629 SHIRT,,"22/25 BIG/35 7,8,9XL"
16062,877,8944/633 PV SUIT,ALL THE RAGE,75
16063,1386,D246 SUIT,ALL THE RAGE,89
16064,1516,1629 SHIRT,BLACK TIE CLASSIC,20/ 23BIG
16065,1020,LAVA,M&S,25
16066,1536,"3406, 1606 SHIRT",BONAMAN-F/F 22/04/15,18 / 21 BIG
16067,1432,"1630 SHIRT, 1629  SHIRT",MAN UNITED,22.5 / 25.5 BIG
16068,1390,T128 SUIT ,JIMANI CLOTHING,65 / 80 BIG
16069,1478,AF028 TRS,JIMANI CLOTHING,14
16070,1453,1706 SHIRT,MAN UNITED,24 / 27 BIG
16071,327,WC SHIRT,JACK SIMMONS,22
16072,1079,BOY 1090 SHIRT,JUDD'S MENSWEAR,18.5
16073,1483,5910 JACKET,PAULS DISCOUNT JEANERY,65
16074,1537,"6791/2, 6516/4 JACKET",PAULS DISCOUNT JEANERY,40
16075,822,PURE COTTON POLO,JOE LICHAA,16.5
16076,1530,2269/7 SUIT,ELITE SHOP,65
16077,1390,T128 SUIT ,NODDY'S,65 / 19.5
16078,1453,1706 SHIRT,BEST DRESSED MAN,22 / 25 BIG
16079,1390,T128 SUIT ,GENTLEMENTS OUTFITS --CHAR,75
16080,1538,6366 WHITE SHOES,BONAMAN-BROADMEADOWS,30
16081,1453,1706 SHIRT,SWANNIES MENSLAND,25 / 28 BIG
16082,1539,9670/701,JIMANI CLOTHING,"75 / 22.5 , JACKET ONLY 60.00"
16083,1390,T128 SUIT ,JON KELL @ 23/05/2013 UP DATE,62.5 / 77.5BIG / 18 /23.5 BIG
16084,1540,PAISLEY TIE,JON KELL @ 23/05/2013 UP DATE,8.5
16085,1541,SUIT BAGS (ROLL),REUBEN F. SCARF NEWCASTLE / CHERMSIDE,80
16086,150,"1034 SHIRT  , 1090 SHIRT",ALL THINGS WEDDING,20 / 23 BIG
16087,1027,3474 BOY SHIRT,BLACK TIE BY XAVIER,20
16088,1111,8944/723 SUIT NO TRIM,ELITE SHOP,79.00 / 19.25
16089,1542,15502/5 SUIT,LOWES MENSWEAR,65  /23
16090,1530,2269/7 SUIT,"NO 12 / 21-RFS, CHERMSIDE",65
16091,1516,1629 SHIRT,CLYDE TREATS PETITE YUM,22 / 25 BIG
16092,1454,1056 SHIRT,SUITS DIRECT PTY LTD,22 / 25  BIG
16093,1390,T128 SUIT ,GOLDERS MENSWEAR,75 / 90 BIG
16094,1453,1706 SHIRT,GLEESONS MERCERY,25 / 28 BIG
16095,1543,P2232/61 SUIT,CAPTUREYES,85 /25 
