priceid,sku,title,Customer,Price
8000,61,398/28 W4,ROMEO & JULIET,90
8001,62,NZ03 F2017,ROMEO & JULIET,90 / 25 
8002,33,POLY VISCOVE  SUIT,ROMEO & JULIET,75.9 / 110
8003,34,POLY VISCOSE TRS/VEST,ROMEO & JULIET,19.25 /24.75 BIG
8004,35,POLY VISCOVE KID SUITS,ROMEO & JULIET,53.9/ 16.50
8005,36,INJECTION LW SUIT,ROMEO & JULIET,PW60/ PV50.00
8006,10,"VARCE PIN STRIP B3/19,35",ROMEO & JULIET,97.9
8007,51,PIN TRS VEST B3/19 TRS,ROMEO & JULIET,25.3
8008,80,DNS 058 DNS 044,ROMEO & JULIET,121
8009,157,POLY RIB VEST,ROMEO & JULIET,21.45
8010,13, BOY MF TRS,ROMEO & JULIET,18.15
8011,14,BOY MF SHT,ROMEO & JULIET,17.6
8012,11,BOY SUIT,ROMEO & JULIET,49.5
8013,40,BOY VEST,ROMEO & JULIET,17.6
8014,81,PIN STR' BOY SUIT,ROMEO & JULIET,60.5
8015,12,SATIN TIE & BOW TIE,ROMEO & JULIET,7.15
8016,99,FANCY BOW TIE,ROMEO & JULIET,5.5
8017,82,"9637, 9638,  9636,6364 SHOES",ROMEO & JULIET,38.5
8018,70,1080/3 203/1,ROMEO & JULIET,38.5
8019,165,TOP LEATHER SHOES,ROMEO & JULIET,38.5
8020,1,MICRO FIRBE TRS  & COL TRS,ROSEY'S  BRIDAL WEAR,20.35
8021,2,MF LS SHIRT,ROSEY'S  BRIDAL WEAR,18.15
8022,53,MAVERICK SUIT,ROSEY'S  BRIDAL WEAR,93.5
8023,5,COLOUR SUIT,ROSEY'S  BRIDAL WEAR,82.5
8024,15,PC BUS' SHT,ROSEY'S  BRIDAL WEAR,10.89
8025,55,FC BUS' SHT 1143 SHIRT,ROSEY'S  BRIDAL WEAR,22.00
8026,16,Y6377,ROSEY'S  BRIDAL WEAR,19.25
8027,17,V069 V069,ROSEY'S  BRIDAL WEAR,22
8028,20,VARCE POLY/W 31332/10 3208,ROSEY'S  BRIDAL WEAR,105
8029,183,"3208 W8,",ROSEY'S  BRIDAL WEAR,105
8030,23,"PURE WOOL 31226, 31333",ROSEY'S  BRIDAL WEAR,148.5
8031,26,PURE W 31081/W1.4,ROSEY'S  BRIDAL WEAR,148.5
8032,75,MIRNING 31081 MORNING,ROSEY'S  BRIDAL WEAR,185 / 3209 TAIL 120
8033,28,PURE W 31820/2A 31820/2D 21564/2A,ROSEY'S  BRIDAL WEAR,148.5
8034,83,TRS 31820/2D,ROSEY'S  BRIDAL WEAR,49.5
8035,58,LW SUIT,ROSEY'S  BRIDAL WEAR,86.9
8036,59,LW TRS / VEST,ROSEY'S  BRIDAL WEAR,23.1
8037,30,"LW TRIM SUIT D246, 1985",ROSEY'S  BRIDAL WEAR,89 / 23
8038,61,398/28 W4,ROSEY'S  BRIDAL WEAR,89
8039,33,POLY VISCOVE  SUIT,ROSEY'S  BRIDAL WEAR,75.9 / 110 BIG
8040,34,POLY VISCOSE TRS/VEST,ROSEY'S  BRIDAL WEAR,19.25
8041,35,POLY VISCOVE KID SUITS,ROSEY'S  BRIDAL WEAR,53.9
