sku,title,Customer,Price
137,1028 SHIRT,UBER STONE,18.9
24,PURE W TRS VEST 03T/29,UBER STONE,45
26,PURE W 31081/W1.4,UBER STONE,150
59,LW TRS / VEST,UBER STONE,35
234,N/A,UBER STONE,150
33,POLY VISCOVE  SUIT,UBER STONE,75 / 110
34,POLY VISCOSE TRS/VEST,UBER STONE,20
35,POLY VISCOVE KID SUITS,UBER STONE,53.9/18.15
51,PIN TRS VEST B3/19 TRS,UBER STONE,20
115,NEW TIE & CUFF SET BOX,UBER STONE,15
12,SATIN TIE & BOW TIE,UBER STONE,POLY TIE 5.00
100,BELT IN BOX,UBER STONE,11
1,MICRO FIRBE TRS  & COL TRS,UNFOLD,17.6
2,MF LS SHIRT,UNFOLD,17.6
49,M/TWIST SUIT,UNFOLD,38.5
85,XERO TRS,UNFOLD,12.65
3,MF SS SHT,UNFOLD,17.6
4,MF SUIT,UNFOLD,71.5
5,COLOUR SUIT,UNFOLD,82.5
20,VARCE POLY/W 31332/10 3208,UNFOLD,99
67,POLY RIB POLY RIB SUIT,UNFOLD,82.5
39,JACKET 1602,UNFOLD,22
96,3663,UNFOLD,38.5
97,3665,UNFOLD,38.5
81,PIN STR' BOY SUIT,UNFOLD,53.9
52,SHOES 4602#,UNFOLD,30.8
1,MICRO FIRBE TRS  & COL TRS,UNLEASH-BOYZII MEN,16.5
2,MF LS SHIRT,UNLEASH-BOYZII MEN,16.5 / 18.7 BIG
3,MF SS SHT,UNLEASH-BOYZII MEN,16.5
4,MF SUIT,UNLEASH-BOYZII MEN,63.8
5,COLOUR SUIT,UNLEASH-BOYZII MEN,63.8
6,PINSTRIP PINSTRIP ,UNLEASH-BOYZII MEN,71.5
10,"VARCE PIN STRIP B3/19,35",UNLEASH-BOYZII MEN,71.5
67,POLY RIB POLY RIB SUIT,UNLEASH-BOYZII MEN,75.9
68,POLY RIB TRS,UNLEASH-BOYZII MEN,17.6
39,JACKET 1602,UNLEASH-BOYZII MEN,22
14,BOY MF SHT,UNLEASH-BOYZII MEN,15.4
48,2032/13 SPORTS JKT 3208 NAVY OTHER,UNLEASH-BOYZII MEN,3663 31.90
1,MICRO FIRBE TRS  & COL TRS,URBAN EDGE,17.6
2,MF LS SHIRT,URBAN EDGE,16.5
49,M/TWIST SUIT,URBAN EDGE,38.5
50,M/TWIST TRS,URBAN EDGE,13.75
85,XERO TRS,URBAN EDGE,13.75
15,PC BUS' SHT,URBAN EDGE,10.45
56,"URBAN D06,07,08",URBAN EDGE,22
21,POLY/W VEST TRS & 3208 TRS,URBAN EDGE,27.5
24,PURE W TRS VEST 03T/29,URBAN EDGE,42.9
68,POLY RIB TRS,URBAN EDGE,22
84,BELT BROWN,URBAN EDGE,5.5
39,JACKET 1602,URBAN SIPIT,17.05
56,"URBAN D06,07,08",URBAN TRENZ,22
153,T SHT L/S,URBAN TRENZ,8.25
10,"VARCE PIN STRIP B3/19,35",URBAN TRENZ,88
3,MF SS SHT,V & J MAGNETICS,16.5
37,SWEATER A3118,V & J MAGNETICS,18.7
2,MF LS SHIRT,VA FASHIONS,21.5 / 24.5 BIG
